"","site_variable","Category","slope.m","slope.se","score.m","score.se"
"1","Geomorphology","Back Barrier",0.001,0.003,0.235,0.25
"2","Geomorphology","Bay Front",0.016,0.006,0.778,0.319
"3","Geomorphology","Riverine",0.01,0.004,0.4,0.275
"4","Region","Gulf Coast",0.041,0.011,1.333,0.471
"5","Region","Mid-Atlantic",0,0.005,0,0.632
"6","Region","Northeast",0.012,0.001,1.556,0.242
"7","Region","Southeast",0.004,0.005,-0.091,0.415
"8","Region","West Coast",0,0.002,0.048,0.129
"9","salinity","Mesohaline",0.022,0.01,0.8,0.291
"10","salinity","Oligohaline",-0.002,0.003,-0.222,0.401
"11","salinity","Polyhaline",0.008,0.003,0.556,0.209
"12","tidal_range","Macrotidal",0.002,0.002,0.25,0.25
"13","tidal_range","Mesotidal",0.001,0.002,0.238,0.181
"14","tidal_range","Microtidal",0.016,0.005,0.667,0.268
