"","Metric","SampleSize","term","df","sumsq","meansq","statistic","p.value","r.squared","adj.r.squared"
"1","Abiotic Cover",114,"SLR",1,110.163,110.163,13.871,0,0.114,0.106
"2","Abiotic Cover",114,"Vegetation_Zone",2,0.022,0.011,0.001,0.999,0.114,0.106
"3","Abiotic Cover",114,"SLR:Vegetation_Zone",2,2.297,1.148,0.145,0.866,0.114,0.106
"4","Abiotic Cover",114,"Residuals",108,857.754,7.942,NA,NA,0.114,0.106
"5","Live Cover",114,"SLR",1,111.182,111.182,13.968,0,0.114,0.106
"6","Live Cover",114,"Vegetation_Zone",2,0.043,0.021,0.003,0.997,0.114,0.106
"7","Live Cover",114,"SLR:Vegetation_Zone",2,2.038,1.019,0.128,0.88,0.114,0.106
"8","Live Cover",114,"Residuals",108,859.659,7.96,NA,NA,0.114,0.106
"9","Halophyte Cover",112,"SLR",1,35.143,35.143,6.613,0.012,0.056,0.048
"10","Halophyte Cover",112,"Vegetation_Zone",2,8.727,4.363,0.821,0.443,0.056,0.048
"11","Halophyte Cover",112,"SLR:Vegetation_Zone",2,16.509,8.254,1.553,0.216,0.056,0.048
"12","Halophyte Cover",112,"Residuals",106,563.278,5.314,NA,NA,0.056,0.048
"13","Freshwater Cover",67,"SLR",1,11.123,11.123,9.297,0.003,0.1,0.086
"14","Freshwater Cover",67,"Vegetation_Zone",2,5.992,2.996,2.504,0.09,0.1,0.086
"15","Freshwater Cover",67,"SLR:Vegetation_Zone",2,20.972,10.486,8.765,0,0.1,0.086
"16","Freshwater Cover",67,"Residuals",61,72.98,1.196,NA,NA,0.1,0.086
"17","EMI",114,"SLR",1,0.003,0.003,7.393,0.008,0.058,0.05
"18","EMI",114,"Vegetation_Zone",2,0.002,0.001,2.691,0.072,0.058,0.05
"19","EMI",114,"SLR:Vegetation_Zone",2,0.003,0.001,3.306,0.04,0.058,0.05
"20","EMI",114,"Residuals",108,0.045,0,NA,NA,0.058,0.05
"21","Richness",114,"SLR",1,0.004,0.004,0.138,0.711,0.001,-0.008
"22","Richness",114,"Vegetation_Zone",2,0.037,0.018,0.717,0.49,0.001,-0.008
"23","Richness",114,"SLR:Vegetation_Zone",2,0.077,0.038,1.487,0.231,0.001,-0.008
"24","Richness",114,"Residuals",108,2.781,0.026,NA,NA,0.001,-0.008
"25","Shannon-Weiner Diversity",114,"SLR",1,0.002,0.002,0.912,0.342,0.008,-0.001
"26","Shannon-Weiner Diversity",114,"Vegetation_Zone",2,0.001,0.001,0.32,0.727,0.008,-0.001
"27","Shannon-Weiner Diversity",114,"SLR:Vegetation_Zone",2,0.011,0.006,3.076,0.05,0.008,-0.001
"28","Shannon-Weiner Diversity",114,"Residuals",108,0.201,0.002,NA,NA,0.008,-0.001
"29","Salt Ratio",113,"SLR",1,0,0,0.057,0.812,0,-0.009
"30","Salt Ratio",113,"Vegetation_Zone",2,0.004,0.002,3.686,0.028,0,-0.009
"31","Salt Ratio",113,"SLR:Vegetation_Zone",2,0.001,0,0.565,0.57,0,-0.009
"32","Salt Ratio",113,"Residuals",107,0.061,0.001,NA,NA,0,-0.009
